answer,question
借记卡是指发卡银行向持卡人签发的，没有信用额度，持卡人先存款、后使用的银行卡。借记卡按功能不同分为转账卡、专用卡和储值卡。借记卡不能透支。转账卡具有转账、存取现金和消费功能。专用卡是在特定区域、专用用途(百货、餐饮、娱乐行业以外的用途) 使用的借记卡，具有转账、存取现金的功能。储值卡是银行根据持卡人要求将资金转至卡内储存，交易时直接从卡内扣款的预付钱包式借记卡。...,借记卡
交易额指定时期内的交易量或交易规模。...,交易额
银行存款是储存在银行的款项。它是货币资金的组成部分。根据我国现金管理制度的规定，每一企业都必须在中国人民银行或专业银行开立存款户，办理存款、取款和转账结算，企业的货币资金，除了在规定限额以内，可以保存少量的现金外，都必须存入银行，企业的银行存款主要包括：结算户存款、信用证存款、外埠存款等。银行存款的收支业务由出纳员负责办理。每笔银行存款收入和支出业务，都须根据经过审核无误的原始凭证编制记账凭证。...,银行存款
现代支付体系主要由支付工具、支付系统、支付服务组织和支付体系监督管理等要素组成。...,支付体系
 支票是出票人签发的，委托办理支票存款业务的银行或者其他金融机构在见票时无条件支付确定的金额给收款人或者持票人的票据。同样支票制度也适用汇票的有关规定，所以，我们只介绍针对支票不同于汇票的特殊规定。支票的特征表现在：其一，支票是委付证券，但支票的付款人比较特殊，必须是有支票存款业务资格的银行或非银行金融机构。其二，我国的支票只有即期支票，支票无承兑制度。...,支票
金融监管是政府通过特定的机构，如中央银行、证券交易委员会等对金融交易行为主体作的某种限制或规定。本质上是一种具有特定内涵和特征的政府规制行为。金融监管可以分成金融监督与金融管理。金融监督指金融主管当局对金融机构实施的全面性、经常性的检查和督促，并以此促进金融机构依法稳健地经营和发展。金融管理指金融主管当局依法对金融机构及其经营活动实施的领导、组织、协调和控制等一系列的活动。...,金融监管
绩效，从管理学的角度看，是组织期望的结果，是组织为实现其目标而展现在不同层面上的有效输出，它包括个人绩效和组织绩效两个方面。组织绩效实现应在个人绩效实现的基础上，但是个人绩效的实现并不一定保证组织是有绩效的。如果组织的绩效按一定的逻辑关系被层层分解到每一个工作岗位以及每一个人的时候，只要每一个人达成了组织的要求，组织的绩效就实现了。...,绩效
陈晓，1987年7月5日出生于安徽合肥，中国内地男演员，毕业于中央戏剧学院表演系本科班。1997年出演电视《我们班的歌》，饰演男一号孙东。 2010年参演徐克执导的电影《狄仁杰之通天帝国》。 2011年签约于正工作室。2013年凭借新版《笑傲江湖》林平之、《陆贞传奇》男一号高湛人气大增，荣获2013年度国剧盛典“极具青春号召力演员”奖，以及亚洲偶像盛典“最具潜力男演员奖”。2014年陈晓与陈妍希主演的古装武侠电视剧《神雕侠侣》播出，拿下全国同时段第一的收视率。2015年与杨颖、...,陈晓
张晓龙，1975年12月9日出生于吉林省辽源市，中国大陆男演员、礼仪指导、民族民间舞学士、中国古代史硕士，中央戏剧学院副教授，硕士生导师。1994年考进了北京舞蹈学院民间舞专业，2002年出演首部电视剧《情有千千劫》。2011年凭借古装剧《后宫甄嬛传》温实初一角成名，获得安徽卫视国剧盛典最具突破艺人奖。2012年-2015年期间分别主演《爱情面前谁怕谁》《十月围城》《陆小凤与花满楼》《我的情敌是超人》《妻子的谎言》《爱人的谎言》等电视剧及电影。...,张晓龙
筹资（raise cash）是通过一定渠道、采取适当方式筹措资金的财务活动，是财务管理的首要环节。筹资等同于资金筹集，是指企业通过各种方式和法定程序，从不同的资金渠道，筹措所需资金的全过程。无论其筹资的来源和方式如何，其取得途径不外乎两种：一种是接受投资者投入的资金，即企业的资本金；另一种是向债权人借入的资金，即企业的负债。...,筹资
资金融通是货币流通及与其相关的信用活动。资金融通包括货币流通，存款的吸收与提取，贷款的发放与收回、资金的相互拆借，金银、外汇和有价证券的买卖，保险、信托、国内外汇兑的往来等。资金融通按其有无媒介可分为直接融资和间接融资。直接融资是指融出资金单位与融入资金单位之间的货币资金的转移不通过各种金融媒介体来进行，而是由融资双方直接协商确定。间接融资是指融出资金单位与融入资金单位之间的货币资金的转移需要通过某种金融媒介体来进行。...,资金融通
秦岚（Qin Lan），1981年7月17日出生于辽宁省沈阳市，毕业于沈阳工业大学会计系，中国内地女演员、歌手。2001年，秦岚因出演个人首部电视剧《大唐情史》正式进入演艺圈。2002年，因在古装爱情剧《还珠格格3》中饰演陈知画而崭露头角；2003年，出演古装武侠剧《风云2》。2004年，主演古装爱情剧《护花奇缘》。2006年，出演古装励志剧《绣娘兰馨》。2007年，因在青春爱情剧《又见一帘幽梦》中饰演汪绿萍而获得更多关注。2009年，出演剧情片《南京！南京！》。2011年，凭借家庭伦理片《母语》荣获第三届英国万像国际华语电影节“最具潜力女演员奖”。2012年，凭借古装传奇片《王的盛宴》荣获第七届亚洲电影节“最佳女配角”。同年，在古装传奇剧《...,秦岚
企业组织形式是指企业存在的形态和类型，主要有独资企业、合伙企业和公司制企业三种形式。无论企业采用何种组织形式，都应具有两种基本的经济权利，即所有权和经营权，它们是企业从事经济运作和财务运作的基础。企业采用何种组织形式，对企业理财工作有重大的影响。指企业财产及其社会化大生产的组织状态，它表明一个企业的财产构成、内部分工协作与外部社会经济联系的方式。...,企业组织形式
信贷是指以偿还和付息为条件的价值运动形式。通常包括银行存款、贷款等信用活动，狭义上仅指银行贷款，广义上同“信用”通用。信贷是社会主义国家用有偿方式动员和分配资金的重要形式，是发展经济的有力杠杆。...,信贷
募集资金是指上市公司公开发行证券（包括首次公开发行股票、配股、增发、发行可转换公司债券、发行分离交易的可转换公司债券等）以及非公开发行证券向投资者募集的资金，但不包括上市公司股权激励计划募集的资金。...,募集资金
有形网络，是关于互联网本质的一种价值认同--既公众认为互联网是非虚拟的，有规律可循的，以及可管理的。互联网早期发展阶段，人们更容易接受“无形网络”的观念，既认为技术已经创造了一个自由的环境，因而网络空间无法被规制，也就是说网络的特性使它摆脱了政府（以及其他任何组织或个人）的控制。换言之，互联网的核心本质是：自由。...,有形网络
信息，指音讯、消息、通讯系统传输和处理的对象，泛指人类社会传播的一切内容。人通过获得、识别自然界和社会的不同信息来区别不同事物，得以认识和改造世界。在一切通讯和控制系统中，信息是一种普遍联系的形式。1948年，数学家香农在题为“通讯的数学理论”的论文中指出：“信息是用来消除随机不定性的东西”。创建一切宇宙万物的最基本万能单位是信息。...,信息
中国保险监督管理委员会（简称中国保监会）成立于1998年11月18日，是国务院直属事业单位。根据国务院授权履行行政管理职能，依照法律、法规统一监督管理全国保险市场，维护保险业的合法、稳健运行。2003年，国务院决定，将中国保监会由国务院直属副部级事业单位改为国务院直属正部级事业单位，并相应增加职能部门、派出机构和人员编制。中国保险监督管理委员会内设16个职能机构和2个事业单位，并在全国各省、自治区、直辖市、计划单列市设有36个保监局，在苏州、烟台、汕头、温州、唐山市设有5个保监分局。2018年3月，根据第十三届全国人民代表大会第一次会议批准的国务院机构改革方案，将中国保险监督管理委员会的职责整合，组建中国银行保险监督管理委员会；将中国保险监督管理委员会审慎监管基本制度的职责划入中国人民银行；不再保留中国保险监督管理委员会。...,中国保险监督管理委员会
十二生肖，又叫属相，是中国与十二地支相配以人出生年份的十二种动物，包括鼠、牛、虎、兔、龙、蛇、马、羊、猴、鸡、狗、猪。十二生肖的起源与动物崇拜有关。据湖北云梦睡虎地和甘肃天水放马滩出土的秦简可知，先秦时期即有比较完整的生肖系统存在。最早记载与现代相同的十二生肖的传世文献是东汉王充的《论衡》。十二生肖是十二地支的形象化代表，即子（鼠）、丑（牛）、寅（虎）、卯（兔）、辰（龙）、巳（蛇）、午（马）、未（羊）、申（猴）、酉（鸡）、戌（狗）、亥（猪），随着历史的发展逐渐融合到相生相克的民间信仰观念，表现在婚姻、人生、年运等，每一种生肖都有丰富的传说，并以此形成一种观念阐释系统，成为民间文化中的形象哲学，如婚配上的属相、庙会祈祷、本命年等。现代，更多人把生肖作为春节的吉祥物，成为娱乐文化活动的象征。生肖作为悠久的民俗文化符号，历代留下了大量描绘生肖形象和象征意义的诗歌、春联、绘画、书画和民间工艺作品。...,十二生肖
中国银行业监督管理委员会（简称：中国银监会或银监会；英文：China Banking Regulatory Commission ，英文缩写：CBRC）成立于2003年4月25日，是国务院直属正部级事业单位。根据国务院授权，统一监督管理银行、金融资产管理公司、信托投资公司及其他存款类金融机构，维护银行业的合法、稳健运行。中国银监会系统在全国有四级组织机构，其中：银监会机关在北京市金融街，内设27个部门。除会机关外，银监会在31个省（自治区、直辖市）的省会城市以及大连、宁波、厦门、青岛、深圳等5个计划单列市设有36家银监局，在全国306个地区（地级市、自治州、盟）设有银监分局，在全国1730个县（县级市、自治县、旗、自治旗）设有监管办事处，基本覆盖了全国各层级行政区域，全系统参照公务员法管理。2018年3月，根据第十三届全国人民代表大会第一次会议批准的国务院机构改革方案，将中国银行业监督管理...,中国银行业监督管理委员会
中华人民共和国银行业金融机构，是指在中华人民共和国境内设立的商业银行、城市信用合作社、农村信用合作社等吸收公众存款的金融机构以及政策性银行。中国银行保险监督管理委员会（简称银保监会），负责对全国银行业金融机构及其业务活动监督管理的工作。...,中华人民共和国银行业金融机构
"中国证监会是国务院直属正部级事业单位，其依照法律、法规和国务院授权，统一监督管理全国证券期货市场，维护证券期货市场秩序，保障其合法运行。国务院在《期货交易管理条例》中规定，""中国证监会对期货市场实行集中统一的监督管理""。在证监会内部，专门设有期货监管部，该部门是中国证监会对期货市场进行监督管理的职能部门。中国证监会设在北京，会机关内设21个职能部门，1个稽查总队，3个中心；根据《中华人民共和国证券法》第14条规定，中国证监会还设有股票发行审核委员会，委员由中国证监会专业人员和所聘请的会外有关专家担任。中国证监会在省、自治区、直辖市和计划单列市设立36个证券监管局，以及上海、深圳证券监管专员办事处。...",中国证券监督管理委员会
广义上指一国政府授权国家的货币金融当局或其他机构，对外汇的收支、买卖、借贷、转移以及国际间结算、外汇汇率和外汇市场等实行的控制和管制行为；狭义上是指对本国货币与外国货币的兑换实行一定的限制。2016年外汇管理重点工作：一是推进外汇监管方式改革，弱化事前审批，完善事中事后管理，提高国际收支监测分析的准确性和前瞻性，提升监管效能；二是进一步优化外汇管理服务，深化经常项目便利化改革，完善跨境投融资外汇管理，加快外汇市场发展；三是 加强风险防控，指导银行按照“展业三原则”要求办理外汇业务，严格履行真实性、合法性审核责任，打击外汇违法违规行为，维护正常外汇市场秩序；四是 做好国家外汇储备经营管理工作，统筹安全、流动和保值增值的各项目标，完善外汇储备多元化运用；五是贯彻全面从严治党要求，认真落 实“两个责任”， 继续加强党建工作，狠抓党风廉政、队伍建设和内部管理。...,外汇管理
麒麟（qí lín）：中国传统瑞兽，性情温和，传说能活两千年。古人认为，麒麟出没处，必有祥瑞。有时用来比喻才能杰出、德才兼备的人。《礼记·礼运第九》：“麟、凤、龟、龙，谓之四灵”，可见麒麟地位起码与龙同等，并不低于龙。但麒麟又是应龙的孙辈，《淮南子·地形训》：“毛犊生应龙，应龙生建马，建马生麒麟，麒麟生庶兽，凡毛者，生于庶兽。”麒麟也有中土之兽的说法但与被《淮南子》、《灵宪》等诸多古籍认为居中主土的黄龙相比，麒麟只有 《易冒》一书将其与青龙等四灵相提并论。...,麒麟
中国工商银行（INDUSTRIAL AND COMMERCIAL BANK OF CHINA，简称ICBC ，工行）成立于1984年1月1日。总行位于北京复兴门内大街55号，是中央管理的大型国有银行，国家副部级单位。中国工商银行的基本任务是依据国家的法律和法规，通过国内外开展融资活动筹集社会资金，加强信贷资金管理，支持企业生产和技术改造，为我国经济建设服务。2017年2月，Brand Finance发布2017年度全球500强品牌榜单，中国工商银行排名第10位。2018年6月20日，《中国500最具价值品牌》分析报告发布，中国工商银行排名第4位。2018年7月，英国《银行家》杂志发布2018年全球银行1000强排名榜单，中国工商银行排名第1位。2018年《财富》世界500强排名第26位。2018年12月18日，世界品牌实验室编制的《2018世界品牌500强》揭晓，中国工商银行排名第43位。...,中国工商银行
共同保险简称“共保”。两个或两个以上保险人联合承保同一笔保险业务或共同分担同一笔损失的保险行为。共同保险总金额不超过保险标的的实际价值。若被保险人投保保险金额低于实际价值，其不足额部分应视作被保险人自保。共同保险的保险费率、保险期限、保险责任等都是由各保险人与投保人共同商订。若保险标的发生损失，各保险人按各自承保的比例分摊损失。...,共同保险
石狮子，是中国传统文化中常见的辟邪物品，以石材为原材料雕塑成狮子的形象，具有艺术价值和观赏价值的雕塑品。最早的石狮是东汉高颐墓前的石狮。是中国传统建筑中经常使用的一种装饰物，在中国的宫殿、寺庙、佛塔、桥梁、府邸、园林、陵墓及印钮上都会看到它。但更多的时候，石狮是专门指放在大门左右两侧的一对狮子。其造型并非我们现在所看见的狮子，可能是因为中土人士大多没有见过在非洲草原上的真正的狮子，但也有说法是西域狮与非洲狮体态不同的缘故。...,石狮子
公司治理，从广义角度理解，是研究企业权力安排的一门科学。从狭义角度上理解，是居于企业所有权层次，研究如何授权给职业经理人并针对职业经理人履行职务行为行使监管职能的科学。基于经济学专业立场，企业有两个权：所有权和经营权，二者是分离的。企业管理（Corporate Management）是建构在企业“经营权层次”上的一门科学，讲究的就是企业所有权人向经营权人授权，经营权人在获得授权的情形下，以实现经营目标而采取一切经营手段的行为。与此相对应的，公司治理（Corporate Governance）则是建构在企业“所有权层次”上的一门科学，讲究的是科学的向职业经理人授权，科学的向职业经理人进行监管。...,公司治理
期货市场是按达成的协议交易并按预定日期交割的交易场所或领域。现货与期货的显著区别是，期货的交割期放在未来，而价格、交货及付款的数量、方式、地点和其他条件是在即期由买卖双方在合同中规定的，商品及证券均可在期货市场上交易。虽然合同已经签订，但双方买卖的商品可能正在运输途中，也可能正在生产中，甚至可能还没有投入生产过程，卖者手中可能有商品或证券，也可能没有商品或证券。...,期货市场
标准化合约是指其标的资产（基础资产）的交易价格、交易时间、资产特征、交易方式等都是事先标准化的，因此此类合约大多在交易所上市交易，如期货。标准化合约的条款都是事先规定好的，具有普遍性和统一性。...,标准化合约
保证金制度(Margin System)，也称押金制度，指清算所规定的达成期货交易的买方或卖方，应交纳履约保证金的制度。在期货交易中，任何交易者必须按照其所买卖期货合约价格的一定比例（通常为5%～10%）缴纳资金，作为其履行期货合约的财力担保，然后才能参与期货合约的买卖，并视价格确定是否追加资金，这种制度就是保证金制度，所交的资金就是保证金。...,保证金制度
债券市场是发行和买卖债券的场所，是（金融市场）一个重要组成部分。债券市场是一国金融体系中不可或缺的部分。一个统一、成熟的债券市场可以为全社会的投资者和筹资者提供低风险的投融资工具；债券的收益率曲线是社会经济中一切金融商品收益水平的基准，因此债券市场也是传导中央银行货币政策的重要载体。可以说，统一、成熟的债券市场构成了一个国家金融市场的基础。2018年12月，《关于进一步加强债券市场执法工作有关问题的意见》发布。 中国人民银行发布的数据显示，2月份，债券市场共发行各类债券2.4万亿元，债券市场托管余额为88万亿元。...,债券市场
机构投资者是指用自有资金或者从分散的公众手中筹集的资金专门进行有价证券投资活动的法人机构。这类投资者一般具有投资资金量大、收集和分析信息的能力强等特点。由于这些投资活动对市场的影响较大，使得机构投资者比较注重资产的安全性， 能够充分分散投资风险。按照其主体性质的不同，可以将机构投资者划分为企业法人、金融机构、政府及其机构等。企业法人是证券市场上的交易主体，充当着既是资金供给者又是资金需求者的双重角色。企业法人进行投资的目的主要有两个：一是资产增值，二是参与管理。这种投资一般都是长期投资，交易量大，但是相对较稳定。...,机构投资者
中国银行业监督管理委员会（简称：中国银监会或银监会；英文：China Banking Regulatory Commission ，英文缩写：CBRC）成立于2003年4月25日，是国务院直属正部级事业单位。根据国务院授权，统一监督管理银行、金融资产管理公司、信托投资公司及其他存款类金融机构，维护银行业的合法、稳健运行。中国银监会系统在全国有四级组织机构，其中：银监会机关在北京市金融街，内设27个部门。除会机关外，银监会在31个省（自治区、直辖市）的省会城市以及大连、宁波、厦门、青岛、深圳等5个计划单列市设有36家银监局，在全国306个地区（地级市、自治州、盟）设有银监分局，在全国1730个县（县级市、自治县、旗、自治旗）设有监管办事处，基本覆盖了全国各层级行政区域，全系统参照公务员法管理。2018年3月，根据第十三届全国人民代表大会第一次会议批准的国务院机构改革方案，将中国银行业监督管理...,中国银行业监督管理委员会
持仓量是指投资者现在手中所持有的币品市值（金额）占投资总金额的比例。 期货市场中，持仓量指的是买入（或卖出）的头寸在未了结平仓前的总和，一般指的是买卖方向未平合约的总和，也叫订货量，一般都是偶数，通过分析持仓量的变化可以分析市场多空力量的大小、变化以及多空力量更新状况，从而成为与股票投资不同的技术分析指标之一。 在期货图形技术分析中，成交量和持仓量的相互配合十分重要。正确理解成交量和持仓量变化的关系，可以更准确的把握图形K 线分析组合，有利于深入了解市场语言。...,持仓量
"中国证监会是国务院直属正部级事业单位，其依照法律、法规和国务院授权，统一监督管理全国证券期货市场，维护证券期货市场秩序，保障其合法运行。国务院在《期货交易管理条例》中规定，""中国证监会对期货市场实行集中统一的监督管理""。在证监会内部，专门设有期货监管部，该部门是中国证监会对期货市场进行监督管理的职能部门。中国证监会设在北京，会机关内设21个职能部门，1个稽查总队，3个中心；根据《中华人民共和国证券法》第14条规定，中国证监会还设有股票发行审核委员会，委员由中国证监会专业人员和所聘请的会外有关专家担任。中国证监会在省、自治区、直辖市和计划单列市设立36个证券监管局，以及上海、深圳证券监管专员办事处。...",中国证券监督管理委员会
与前几年曾经风行一时而现今走入低谷的“订单农业”相比较，“期货农业”正以其风险性低、价格提前发现、农民增收效益显著等优势特点而被农产品交易市场和广大农户所接受。...,农产品期货
期权（Options）是一种选择权，期权的买方向卖方支付一定数额的权利金后，就获得这种权利，即拥有在一定时间内以一定的价格（执行价格）出售或购买一定数量的标的物（实物商品、证券或期货合约）的权利(即期权交易）。期权的买方行使权利时，卖方必须按期权合约规定的内容履行义务。相反，买方可以放弃行使权利，此时买方只是损失权利金，同时，卖方则赚取权利金。总之，期权的买方拥有执行期权的权利，无执行的义务；而期权的卖方只是履行期权的义务。...,期权交易
"金融商品也可以称为金融工具，是指在信用活动中产生的能够证明资产交易、期限、价格的""书面文件""，它对于债权债务双方所应承担的义务与享有的权利均有法律约束意义。...",金融商品
金融创新（英语：financial innovation），是变更现有的金融体制和增加新的金融工具，以获取现有的金融体制和金融工具所无法取得的潜在利润，它是一个为盈利动机推动、缓慢进行、持续不断的发展过程。随着社会主义市场经济新体制的确立，金融发展将主要依靠社会经济机体的内部力量——金融创新来推动。国有商业银行的股份制改造，各种新型理财品种的推出，深圳中小企业板块的建立等等都在一定程度上促进了我国金融体系的完善。...,金融创新
"套期保值(hedging),俗称“海琴”，又称对冲贸易，是指交易人在买进(或卖出) 实际货物的同时，在期货交易所卖出(或买进) 同等数量的期货交易合同作为保值。它是一种为避免或减少价格发生不利变动的损失，而以期货交易临时替代实物交易的一种行为。 ...",套期保值
概述套期保值指在期货市场上买入（或卖出）与现货市场交易方向相反、数量相等的同种商品的期货合约，进而无论现货供应市场价格怎样波动，最终都能取得在一个市场上亏损的同时在另一个市场盈利的结果，并且亏损额与盈利额大致相等，从而达到规避风险的目的。...,套期保值交易
Major reporting system 是与限仓制度紧密相关的另外一个控制交易风险、防止大户操纵中场行为的制度。期货交易所建立限仓制度后。当会员或客户某品种持仓合约的投机头寸达到交易所对其规定的投机头寸持仓限量80%以上（含本数）时，必须向交易所申报。申报的内容包括客户的开户情况、交易情况、资金来源。交易动机等等，便于交易所审查大户是否有过度投机和操纵市场行为以及大户的交易风险情况。...,大户报告制度
期货市场引风险是指期货市场参与者（期货交易所、期货经纪公司、结算所、期货交易者、国家）在期货市场运作过程中直接或间接的遭受的损失及其可能性。...,期货市场风险
持仓限额制度是指交易所规定会员或客户可以持有的，按单边计算的某一合约投机头寸的最大数额。是交易所为防范操纵市场价格的行为，防止期货市场风险过度集中于少数投资者而定的制度。...,持仓限额制度
临时报告是指上市公司按有关法律法规及规则规定，在发生重大事项时需向投资者和社会公众披露的信息，是上市公司持续信息披露义务的重要组成部分。...,临时报告制度
持续信息公开也称信息披露，信息披露主要包括证券发行时初次信息披露和证券交易中的信息披露。...,持续信息公开
"风险损失是指非故意的,非预期的和非计划的经济价值的减少和灭失,包括直接损失和间接损失。...",风险损失
特殊风险是指“合同条件”中规定的：战争、敌对行动(不论宣战与否)、入侵、外国敌人的行动、叛乱、革命、暴动、军事政变或篡夺政权、内战，以及工程进行中发生的骚动和暴乱(不包括由于承包人或其他分包人所雇用的人员中的骚动和暴乱)，对工程所造成的或与之有关的损失和破坏。此外，由于地雷、炸弹、手榴弹、炮弹、导弹、弹药及战争用的炸药发生爆炸或冲击波造成施工工程或正在维修工程的破坏损害以及人身伤亡，以及纯属业主工程师的设计所引起的原因和有经验的承包人无法预见、又不能预防和克服的任何一种自然力，也均视为特殊风险。...,特殊风险
新加坡国际金融交易所（Singapore International Monetary Exchange Ltd.，SIMEX）成立于1984年，是亚洲第一家金融期货交易所。SIMEX是一家国际性的交易所，SIMEX的交易品种涉及期货和期权合约、利率、货币、股指、能源和黄金等交易。...,新加坡国际金融交易所
"东京商品交易所，英文名为Tokyo Commodity Exchange,简称TOCOM。TOCOM成立于1984年11月1日，它合并了东京纺织品交易所（成立于1951年）、东京橡胶交易所(1952)和东京黄金交易所(1982)。...",tocom
